ID cliente,Volumen Medio Anual,Precio Promedio por caja,Días de Retraso,Periodos con Compra promedio,Assignments,DistancesToClusterCenter no.0,DistancesToClusterCenter no.1,DistancesToClusterCenter no.2,DistancesToClusterCenter no.3
39,528,25574,15,2,1,0.75768116559874377,0.1994698824998154,0.633301970211142,0.41156651779403453
40,824,20175,25,4,3,0.64269733508397975,0.39408960231739587,0.40401242357692008,0.37324268520002313
41,1603,19392,0,8,3,0.31515455845911217,0.52956044681692682,0.61962210120950512,0.16613112284179732
42,838,24383,10,11,0,0.20469002716000823,0.77827929706472121,0.58241933383051192,0.38523846613038204
43,1236,21032,10,8,3,0.28893313377722446,0.53371735636667461,0.48146022627444141,0.14955580112820724
44,1170,22125,45,6,2,0.70775767706624959,0.73943879003097479,0.25014704926991649,0.61452205474352539
45,1031,19134,0,8,3,0.32845314814291038,0.52899283116342477,0.62557827985271819,0.16676168166605346
46,848,14869,0,2,1,0.77872770852242879,0.19457340725093578,0.7761018877061614,0.42222893549146123
47,1462,19484,0,7,3,0.379565220873864,0.447228213010832,0.61984173246034491,0.11471495935694231
48,813,21052,0,1,1,0.83667897888575,0.090218810550047171,0.823225002088597,0.46620549834186292
49,572,22896,10,4,1,0.58971123317405172,0.21654213279263196,0.56974957602079956,0.22186514178081534
50,662,21980,0,6,3,0.45443361734933396,0.35607963999427666,0.64224644232133554,0.09042636136811813
51,327,39526,40,0,1,1.1053519653927404,0.70994497935409373,0.81289444635298236,0.86287266447345967
52,414,30932,0,1,1,0.86060688651998,0.20637392144768826,0.87224976222198869,0.50723687412063789
53,843,19851,15,6,3,0.449991221937325,0.40591580012953221,0.4293227392227954,0.16801147111766887
54,202,50928,20,10,0,0.72248186587540975,0.98964919149441943,0.86332833221678429,0.76862364063262
55,3912,18470,30,8,2,0.42015161946714852,0.68764770493760086,0.165275212584562,0.42734095752870566
56,725,27116,0,7,3,0.39763084679049093,0.44992414514950108,0.65654884146472559,0.143255736894428
57,632,20744,0,6,3,0.45715564782650303,0.35883977944016338,0.64003097403547116,0.097950011180301028
58,305,24219,0,7,3,0.39426419399965379,0.43929326493832122,0.64490029690452144,0.10167955458507301
59,617,22511,0,7,3,0.38681234130079045,0.43830647654098975,0.634618742346427,0.090140752158278437
60,422,18053,0,0,1,0.92597038487592875,0.19049781823213685,0.88164285029921574,0.55711302340875413
61,281,23853,0,4,1,0.60715224953113089,0.19244071400833629,0.70208205152541336,0.22664751526562754
62,278,20389,0,6,3,0.4640799782087045,0.35982162089625508,0.6437940135691117,0.10346954688679941
63,292,26083,0,7,3,0.40054588067705477,0.44475328023545424,0.65491395386379325,0.12688401368665547
64,73,49528,10,2,1,0.98139501295925391,0.63957509439161475,0.98228227878165164,0.74609432525006025
65,272,29450,10,10,0,0.2740757768208425,0.71209601665585309,0.59105723198521,0.34479549357138728
66,245,20675,0,0,1,0.92200045592699809,0.1618018284311758,0.88387484728162136,0.5493987961385195
67,179,26590,0,1,1,0.84605583918636773,0.11788677496943069,0.84692505073920266,0.47629348425270907
68,230,21472,0,4,1,0.60821361221768466,0.19352848053172492,0.69567013579981241,0.22518159595440193
69,79,20777,0,2,1,0.76508180711410867,0.067964057507520423,0.77888159713713534,0.38625114941803373
70,5953,20182,0,9,0,0.19663988650452977,0.64212691708119918,0.60973971421803652,0.29503821000661407
